title,description,keywords,semantic_density,emotion_score,entropy,cliche_score
모피를 입은 비너스(영화),"영화감독 민수는 우연히 만난 주원의 육감적이고 고혹적인 매력에 빠져들고 그녀의 집에서 시나리오 작업을 하며 함께 지낼 것을 제안 받는다. 거대한 성과도 같은 으리으리한 그녀의 집에는 난쟁이 집사가 함께 사는데 민수에겐 가시 같은 존재다. 함께 살면서도 좀처럼 정체를 드러내지 않는 그녀는 점점 미스터리함을 더해가는 가운데 민수는 그녀의 매력에 빠져 그녀가 시키는대로 마조히즘적인 행동을 서슴지 않게 된다. 거부할 수 없는 매력의 여인과 그녀를 사랑하며 온갖 학대와 폭력에도 행복을 느끼는 남자. 고립된 성에서 벌어지는 그들의 기괴한 사랑과 죽음, 증오와 살인, 욕망과 형벌은 더욱 충격적인 결말을 향해가는데..","매력, 민수, 사랑, 성, 같, 집, 욕망, 살인, 증오, 죽음",0.83116746,0.9999999966666666,0.2685841164690478,78.9
트라이앵글(영화),"친구들과 요트 여행에 오른 싱글맘 제스. 갑작스러운 폭풍을 만나 일행 모두 바다에 표류하지만 운 좋게도 호화 유람선을 발견하고 도움을 청하기 위해 승선한다. 하지만 배 안에는 사람의 흔적만 느껴질 뿐 아무도 보이지 않고 바다 위, 마치 시간이 멈춰버린 듯한 거대한 크루즈 안에서 일행들은 한 명씩 의문의 죽음을 맞게 된다. 끝을 알 수 없이 계속 반복되는 죽음과 공포의 순간, 정해진 운명의 패턴을 바꿔야만 탈출에 성공할 수 있는데... 과연 제스는 반복되는 시간의 고리를 끊고 운명의 시계를 되돌릴 수 있을까?","제스, 바다, 일행, 안, 시간, 반복, 운명, 죽음, 있, 싱글",0.8956411,0.6666666644444444,0.2685841164690478,74.43
물랑루즈(영화),"1899년 파리, 지상에서 가장 화려한 세계 '물랑 루즈' 최고의 뮤지컬 가수 샤틴은 신분 상승과 성공을 위해 투자자를 구하다가 우연히 사랑을 찾아 몽마르트르로 흘러온 영국의 낭만파 시인 크리스티앙을 만나게 된다. 샤틴에게서 운명적 사랑을 느낀 크리스티앙은 그녀가 있는 '물랑 루즈'라는 신비의 세계에 발을 들여놓는다. 하지만 그 둘 사이에 거역할 수 없는 슬픈 운명이 서서히 다가오는데...","무, 루즈, 사랑, 샤, 틴, 크리스티앙, 세계, 운명, 사이, 거역",0.83400023,0.6666666644444444,0.2685841164690478,70.74
진주만(영화),"테네시주에 사는 두명의 젊은이 레이프 맥컬리(Captain Rafe McCawley: 벤 에플렉 분)와 대니 워커(Captain Danny Walker: 조쉬 하트넷 분)는 어릴 적부터 형제처럼 자란 죽마고우이다. 이 둘은 자라서 둘다 미공군 파일럿이 되고, 레이프는 미해군에서 근무하는 아름답고, 용기있는 간호사 에벌린 스튜어트(Nurse Lieutenant Evelyn Stewart: 케이트 베킨세일 분)와 사랑에 빠진다. 레이프와 에벌린의 사랑이 이제 겨우 무르익기 시작했을때, 운명은 그 둘의 사랑을 시기하는지 레이프가 배치받은 비행대대를 유럽으로 이동하게 만든다. 그때 유럽은 독일이 갓 일으킨 제2차 세계대전으로 혼란스러웠고, 레이프가 유럽으로 간 사이 미국에 남은 대니와 에벌린은 하와이에 있는 진주만 베이스에 배치받게 된다. 하지만 운명은 레이프와 에벌린의 사랑을 시기해 이 사랑하는 연인을 멀리 갈라놓는데서 그치지 않고, 불행하게도 어느날 레이프가 죽었다는 통지서가 날라오고 만다. 사랑하는 연인과 형제와도 같은 친구의 죽음은 에벌린과 대니가 서로를 의지하게 만들고, 그 둘은 곧 서로를 사랑하게 된다. 사랑하는 연인과 형제와도 같은 친구의 죽음으로 그 둘에게 더이상의 시련이나 아픔은 없을 것이라고 믿었던 에벌린과 대니는 몰랐었다. 그들이 죽었다고 알고 있는 레이프가 살아 있었다는 것을. 그리고, 레이프는 돌아오게 된다. 1941년 12월 7일 아침 진주만에 일본군이 기습공격 해올 때, 바로 그때 운명이 그들을 방해놓은 세 명의 연인들은 진주만에 있었다. 이 세 연인의 운명처럼 전쟁의 운명도 휘몰아 치기 시작하고, 과연 이들의 운명은 전쟁의 소용돌이 속에서 어떻게 될지.","레이프, 사랑, 운명, 대니, 연인, 에벌리, 유럽, 형제, 진주만, 때",0.8161043,0.6666666644444444,0.2685841164690478,69.66
비연(영화),춤을 통해 일과 사랑을 성취해가는 남녀의 이야기,"사랑, 성취, 일, 남녀, 춤, 이야기",0.7521076,0.5555555537037037,0.6763433145632818,69.16
그녀는 거짓말을 너무 사랑해(영화),"홧김에 시작한 연애, 이름도 직업도 모두 거짓말이다. 거짓말로 첫사랑을 시작한 남자, 아키 괜찮아요. 내가 지켜줄게요. 이 세상 그 어떤 위협에서라도. 첫사랑의 거짓말을 믿는 소녀, 리코 두 사람의 거짓말 같은 첫사랑 이야기, 지금 시작합니다.","거짓말, 시작, 첫사랑, 괜찮, 세상, 위협, 이름, 사랑, 아키, 남자",0.7947251,0.6666666644444444,0.2685841164690478,68.38
큐브(영화),"잭과 케이트는 20대 후반의 선남선녀이자 행복한 연인. 하지만 누구나 그렇듯 그들 또한 은밀한 비밀을 가지고 있다. 결혼식 후, 깊은 잠 속에서 깨어난 두 사람은 밀폐된 공간에 각각 홀로 갇혀있는 자신을 발견한다. 영사기로 보여주는 비디오 영상과 ‘예스’, ‘노’ 버튼 위에 있는 모니터만이 유일한 매개체. 그들의 일상이 찍힌 몰래 카메라 영상을 보며 모니터에 쓰인 질문에 답해야만 하는 공포스러운 상황은 점점 더 미궁으로 빠져들고, 잭과 케이트의 배우자에 대한 신뢰는 시험대에 놓인다. 이 모든 상황은 커플의 신뢰도를 시험하기 위한 ‘트루 러브’ 프로젝트였음이 드러나고, 감춰왔던 비밀이 드러날수록 그들의 사랑은 위태로워지고 목숨마저 위협받게 된다. 이곳을 탈출할 수 있는 유일한 방법은 서로에 대한 감정이 진실한 사랑임을 증명하는 것뿐. 과연 이들은 어떤 답을 선택할 것인가?","비밀, 사랑, 유일, 영상, 상황, 모니터, 답, 케이트, 잭, 사람",0.79409504,0.6666666644444444,0.2685841164690478,68.34
영자의 전성시대(영화),영자는 카페 사장 종인을 자신의 옛사랑으로 오인한다. 현실과 망상을 구분 못 하는 영자는 끊임없이 종인을 찾아와 결혼을 종용한다. 아직은 자신의 전성시대가 끝나지 않았다 믿는 영자. 한 여성의 비극적인 삶을 아우르는 영화. [제21회 부천국제판타스틱영화제],"영자, 자신, 종, 비극, 여성, 시대, 전성, 사랑, 현실, 망상",0.7674139,0.6666666644444444,0.2685841164690478,66.74
박하사탕(영화),"1999년 봄, 마흔 살 영호는 '가리봉 봉우회' 야유회에 허름한 행색으로 나타난다. 그곳은 20년 전 첫사랑 순임과 소풍을 왔던 곳. 직업도 가족도 모두 잃고, 삶의 막장에 다다른 영호는 철로 위에서 ""나 다시 돌아갈래"" 라고 절규한다. 영호의 절규는 기차의 기적소리를 뚫고, 시간을 거슬러 올라간다. 사흘 전 봄, 94년 여름, 87년 봄, 84년 가을, 80년 5월 그리고 마지막 79년 가을. 마침내, 영호는 스무 살 첫사랑 순임을 만난다.","영호, 봄, 전, 절규, 첫사랑, 가을, 순임, 봉, 직업, 가족",0.8919821,0.3333333322222222,0.2685841164690478,65.88
REC(영화),"주위 사람들의 이야기를 소재로 가져다 쓰는 영화감독 ‘언니’, 이에 분노한 ‘동생’은 반격에 나선다. [제50회 서울독립영화제]","소재, 분노, 영화감독, 언니, 이야기, 동생, 사람, 반격, 주위, 서울독립영화제",0.8907168,0.3333333322222222,0.2685841164690478,65.81
소녀의 세계(영화),"대책 없이 씩씩한 고1 '선화'(노정의)는 우연히 연극반 선배 '수연'(조수향)의 눈에 띄어 줄리엣 역에 캐스팅된다. 로미오 역을 맡은 전교생의 우상이자 비밀스런 선배 '하남'(권나라)과 가까워질수록 알쏭달쏭한 감정이 싹트는데… 나만의 비밀로 남겨질 줄 알았던 그 날의 기억, 소녀들의 비밀스러운 세계가 공개됩니다!","비밀, 선배, 역, 선화, 노정의, 연극, 반, 소녀, 수연, 고",0.8885889,0.3333333322222222,0.2685841164690478,65.68
환생(영화),"전생의 운명을 소재로, 35년 전에 일어난 끔찍한 살인 사건의 영화화에 나선 관계자에게 일어나는 공포의 참극을 그린 공포물.","관계자, 전, 살인, 사건, 공포, 소재, 참극, 운명, 전생",0.8514407,0.3703703691358024,0.3526866307230349,65.64
박쥐(영화),"병원에서 근무하는 신부 ‘상현’은 죽어가는 환자들을 보고만 있어야 하는 자신의 무기력함에 괴로워 하다가 해외에서 비밀리에 진행되는 백신개발 실험에 자발적으로 참여한다. 그러나 실험 도중 바이러스 감염으로 죽음에 이르고, 정체불명의 피를 수혈 받아 기적적으로 소생한다. 하지만 그 피는 상현을 뱀파이어로 만들어버렸다. 피를 원하는 육체적 욕구와 살인을 원치 않는 신앙심의 충돌은 상현을 짓누르지만 피를 먹지 않고 그는 살 수가 없다. 하지만 살인하지 않고 사람의 피를 어떻게 구한단 말인가? 기적적으로 생명을 건진 상현은 그가 기적을 일으킬 수 있다고 믿고 기도를 청하는 신봉자들 사이에서 어린 시절 친구 ‘강우’와 그의 아내 ‘태주’를 만나게 된다. 뱀파이어가 된 상현은 태주의 묘한 매력에 억누를 수 없는 욕망을 느낀다. 태주 또한 히스테리컬한 시어머니와 무능력한 남편에게 억눌렸던 욕망을 일깨워준 상현에게 집착하고 위험한 사랑에 빠져든다. 모든 것을 포기할 만큼 태주를 사랑하게 된 상현은 끝내 신부의 옷을 벗고 그녀의 세계로 들어 간다. 인간적 욕망의 기쁨이 이런 것이었던가. 이제 모든 쾌락을 갈구하게 된 상현은 신부라는 굴레를 벗어 던진다. 점점 더 대담해져만 가는 상현과 태주의 사랑. 상현이 뱀파이어라는 사실을 알게 된 태주는 두려움에 거리를 두지만 그것도 잠시, 상현의 가공할 힘을 이용해 남편을 죽이자고 유혹한다. 사랑이란 이름으로 더욱 그를 조여오는 태주. 살인만은 피하고자 했던 상현은 결국 태주를 위해 강우를 죽이기 위한 그녀의 제안을 받아들이는데… 한치 앞을 알 수 없는 이들의 사랑, 과연 그 끝은 어떻게 될까.","상현, 태주, 피, 사랑, 욕망, 신부, 살인, 태, 주, 뱀파이어",0.7483037,0.6666666644444444,0.2685841164690478,65.59
짝패(영화),"2005년 온성. 서울에서 형사생활을 하던 태수는 어린 시절 죽마고우 왕재의 부음을 듣고 십여 년 만에 고향을 찾는다. 그는 장례식장에서 필호와 석환, 동환과 재회한다. 왕재의 갑작스런 죽음에 의문을 품은 태수는 서울행을 잠시 보류하고 며칠 더 고향에 남기로 한다. 왕재의 주변을 중심으로 조사를 벌이던 태수는 패거리들에게 공격을 당하다, 석환의 도움으로 가까스로 위기에서 벗어난다. 이 날의 사건을 계기로 의혹은 더욱 짙어지고, 태수와 석환은 본격적으로 왕재의 죽음을 파헤쳐 들어간다. 그러나 그들이 죽음의 배후에 가까이 다가가면 갈수록, 이유를 알 수 없는 죽음이 꼬리에 꼬리를 문다. 태수와 석환은 어느새 운명적으로 짝패가 되어 보이지 않는 적들을 향해 전쟁을 선포하기에 이르는데. 하나 둘씩 밝혀지는 죽음의 단서들. '개발'이라는 미명아래, 살갑던 고향은 어느덧 지옥으로 변해가고 있었다. 친구가 죽고, 고향이 사라져버린 낯선 도시의 한 그늘에서 과연 이 둘은 왕재의 죽음을 밝혀낼 수 있을 것인가.","죽음, 태수, 왕, 재, 고향, 환, 꼬리, 생활, 사건, 날",0.8849353,0.3333333322222222,0.2685841164690478,65.46
사랑하기 때문에(영화),"사랑하는 그녀에게 고백하러 가던 날, 갑작스러운 사고로 사랑에 서툰 사람들의 몸에 들어갈 수 있는 뜻밖의 능력(?)을 가지게 된 작곡가 '이형'(차태현) 여고생 K양을 시작으로 이혼위기 P씨, 모태솔로 노총각 Y씨 첫사랑만 찾는 치매할머니 K씨까지! 유일하게 자신의 비밀을 알아챈 4차원 소녀 '스컬리'(김유정)의 도움으로 인생 최대의 위기를 기회로 바꿔보기로 한다. '이형'은 과연 인생 최고의 순간을 맞이할 수 있을 것인가?","사랑, 이형, 인생, 위기, 있, 비밀, 자신, 차원, 소녀, 유일",0.7389316,0.6666666644444444,0.2685841164690478,65.03
번개맨(영화),"안녕! 내 이름은 ‘서지오’야! 어느 날 이유도 모르고, 번개에 맞아서 초능력이 생겨버렸지 뭐야. 거기다, 나의 하나뿐인 가족 ‘윤오‘형이 의문의 교통사고를 당해 홀로 남겨졌어. 나는 형의 죽음에 대한 사건을 조사하기 시작했고 마침내 ‘블랙코퍼레이션’의 악당 ‘NJ & TJ’와 관계가 있다는 사실을 알아냈지. 그 악당들이 사악한 계략을 꾸미고 있는 게 분명해! 내가 과연 갑자기 생긴 초능력으로 악당들을 물리칠 수 있을까? 친구들아 나에게 힘을 줘! 번개 파워!","악당, 능력, 번개, 형, 이유, 친구, 가족, 죽음, 사건, 조사",0.87072635,0.3333333322222222,0.2685841164690478,64.61
수성못(영화),"아르바이트와 편입 준비를 하며 인생역전을 꿈꾸는 희정. 치열하지만 짠내나게 살던 어느 날, 뜻하지 않게 수성못에서 일어난 실종사건에 연루된다. 설상가상 남다르게 치열한 인간 영목과 엮이며 그녀의 평화로운 일상에 예상치 못했던 일들이 펼쳐진다.","치열, 인생, 평화, 역전, 영목, 희정, 인간, 짜, 남다르, 사건",1.0,0.0,0.2685841164690478,64.03
로렐(영화),"미국 뉴저지 최초의 여성 부서장을 꿈꾸는 ‘로렐’은 마약범 소탕에 앞장서는 등 몸을 사리지 않는 열혈 형사로 경찰조직에서 신임을 받고 있는 23년차 베테랑이다. ‘로렐’은 자신을 알아보지 않는 외딴 동네의 배구 클럽에서 ‘스테이시’를 만나게 되고, 두 사람은 운명적으로 서로에게 강한 호감을 느낀다. 서로를 인정하며 연인으로 발전한 ‘로렐’과 ‘스테이시’. 둘은 행복한 시간을 보내지만, ‘로렐’이 시한부 판정을 받으며 그 행복이 조금씩 흔들리기 시작한다. 희망의 끈을 놓지 않고 치료를 이어가지만 혹시 모를 마지막 순간을 위해, ‘로렐’은 자신의 사후 연금 수령인을 ‘스테이시’로 인정해줄 것을 의회에 요청하는데…. 제80회 아카데미 최우수단편다큐멘터리상 수상작 원작! 사랑을 위해 세상에 맞선 그녀의 감동 실화가 펼쳐진다.","로렐, 스테이시, 인정, 자신, 행복, 서로, 사랑, 원작, 수상작, 상",0.71873057,0.6666666644444444,0.2685841164690478,63.82
가족의 탄생(영화),"누가 보면 연인 사이라 오해할 만큼 다정한, 친구 같고 애인 같은 남매 미라(문소리)와 형철(엄태웅). 인생이 자유로운 형철은 5년 동안 소식 없다 불현듯 누나 미라를 찾아온다. 인생이 조금은 흐릿한 20살 연상녀인 무신(고두심)과 함께.. 똑 부러지는 인생을 꿈꾸던 미라는 사랑하는 동생 형철 그리고 동생이 사랑하는 여인 무신과의 아슬아슬, 어색한 동거를 시작하는데.. 한편, 리얼리스트 선경(공효진)은 로맨티스트 엄마 매자(김혜옥)때문에 인생이 조용할 날이 없다. 사랑이라면 만사 오케이인 엄마의 뒤치다꺼리 하다 보니 이리저리 치인 기억에 사랑이 마냥 좋지만은 않은 선경. 남자친구 준호(류승범)와의 애정전선에 낀 먹구름도 맑게 개일 기미를 보이지 않는다. 딸의 연애가 위태위태한데 매자는 왜 또 선경을 찾으시는지.. 그리고 그 놈의 사랑 때문에 인생이 편할 날 없는 경석(봉태규)과 채현(정유미)이 있다. 얼굴도 예쁘고 맘도 예쁜 채현이 넘치는 사랑을 주위 사람들에게 너무 나누어주다 보니 정작 남자친구는 애정결핍증에 걸리고 만 기구한 커플이다. 이건 아니다 싶은 경석. 참고 참다 둘 사이에 강수를 놓기로 하는데..과연 채현이 그 수에 걸려들까? 하루가 멀다 하고 웬~수처럼 으르렁대는 이들.. 사랑만으로도 복잡한데 이 7명은 여기저기서 또 얽히고 설킨 스캔들로 인생 들썩이기 일쑤다. 어쩌다 저렇게 엮이는지, 살짝 피곤해지려고 할 때. 꿈에도 생각지 못한 하나의 비밀이 이들에게 다가오는데. 사랑에, 스캔들에, 바람 잘 날 없는 이들 과연 찬란한 행복이 탄생할 수 있을까?","사랑, 인생, 없, 친구, 현, 날, 미라, 형, 철, 수",0.85748476,0.3333333322222222,0.2685841164690478,63.81
